Video TotalLoss AvgLoss
5 0.481416 0.096283
10 0.185552 0.037110
15 0.153528 0.030706
20 0.179536 0.035907
25 0.106641 0.021328
30 0.096921 0.019384
35 0.109962 0.021992
40 0.084335 0.016867
45 0.093283 0.018657
50 0.062576 0.012515
55 0.088731 0.017746
60 0.097607 0.019521
65 0.106500 0.021300
70 0.079910 0.015982
75 0.105167 0.021033
80 0.040641 0.008128
85 0.043008 0.008602
90 0.048162 0.009632
95 0.062813 0.012563
100 0.040927 0.008185
Test 0.028358 0.028358
105 0.125963 0.025193
110 0.144110 0.028822
115 0.065064 0.013013
120 0.045924 0.009185
125 0.092011 0.018402
130 0.131213 0.026243
135 0.046893 0.009379
140 0.078708 0.015742
145 0.094179 0.018836
150 0.046343 0.009269
155 0.034689 0.006938
160 0.041353 0.008271
165 0.040886 0.008177
170 0.029183 0.005837
175 0.063749 0.012750
180 0.063867 0.012773
185 0.163101 0.032620
190 0.106633 0.021327
195 0.052522 0.010504
200 0.080983 0.016197
Test 0.015933 0.015933
205 0.069163 0.013833
210 0.105162 0.021032
215 0.037366 0.007473
220 0.077115 0.015423
225 0.059709 0.011942
230 0.044628 0.008926
235 0.089584 0.017917
240 0.050851 0.010170
245 0.055531 0.011106
250 0.100296 0.020059
255 0.069573 0.013915
260 0.070156 0.014031
265 0.136025 0.027205
270 0.058232 0.011646
275 0.069779 0.013956
280 0.118446 0.023689
285 0.067945 0.013589
290 0.109357 0.021871
295 0.103232 0.020646
300 0.086406 0.017281
Test 0.024737 0.024737
305 0.054589 0.010918
310 0.086618 0.017324
315 0.043854 0.008771
320 0.051477 0.010295
325 0.073768 0.014754
330 0.071828 0.014366
335 0.068360 0.013672
340 0.055591 0.011118
345 0.046684 0.009337
350 0.057551 0.011510
355 0.043338 0.008668
360 0.115328 0.023066
365 0.056997 0.011399
370 0.052898 0.010580
375 0.047524 0.009505
380 0.060547 0.012109
385 0.050806 0.010161
390 0.077557 0.015511
395 0.075738 0.015148
400 0.087249 0.017450
Test 0.022677 0.022677
405 0.079637 0.015927
410 0.106387 0.021277
415 0.051842 0.010368
420 0.078174 0.015635
425 0.079656 0.015931
430 0.160380 0.032076
435 0.085748 0.017150
440 0.073714 0.014743
445 0.065504 0.013101
450 0.066169 0.013234
455 0.045995 0.009199
460 0.071913 0.014383
465 0.039458 0.007892
470 0.064533 0.012907
475 0.115912 0.023182
480 0.057113 0.011423
485 0.061452 0.012290
490 0.086112 0.017222
495 0.044382 0.008876
500 0.054619 0.010924
Test 0.075412 0.075412
505 0.112138 0.022428
510 0.071826 0.014365
515 0.055205 0.011041
520 0.048673 0.009735
525 0.038914 0.007783
530 0.080233 0.016047
535 0.030433 0.006087
540 0.020930 0.004186
545 0.052698 0.010540
550 0.024714 0.004943
555 0.079624 0.015925
560 0.074168 0.014834
565 0.038937 0.007787
570 0.042284 0.008457
575 0.105332 0.021066
580 0.069597 0.013919
585 0.102765 0.020553
590 0.072340 0.014468
595 0.068743 0.013749
600 0.058108 0.011622
Test 0.026307 0.026307
605 0.096696 0.019339
610 0.024986 0.004997
615 0.056999 0.011400
620 0.043626 0.008725
625 0.051422 0.010284
630 0.069477 0.013895
635 0.097400 0.019480
640 0.043022 0.008604
645 0.065973 0.013195
650 0.069207 0.013841
655 0.097048 0.019410
660 0.039571 0.007914
665 0.112211 0.022442
670 0.039120 0.007824
675 0.067181 0.013436
680 0.049368 0.009874
685 0.108578 0.021716
690 0.067779 0.013556
695 0.058800 0.011760
700 0.045061 0.009012
Test 0.019542 0.019542
705 0.076587 0.015317
710 0.080762 0.016152
715 0.046397 0.009279
720 0.031465 0.006293
725 0.035361 0.007072
730 0.052945 0.010589
735 0.058414 0.011683
740 0.108367 0.021673
745 0.055846 0.011169
750 0.059965 0.011993
755 0.075233 0.015047
760 0.058038 0.011608
765 0.064400 0.012880
770 0.088134 0.017627
775 0.091150 0.018230
780 0.140543 0.028109
785 0.048460 0.009692
790 0.052204 0.010441
795 0.032669 0.006534
800 0.036988 0.007398
Test 0.007884 0.007884
805 0.036046 0.007209
810 0.051955 0.010391
815 0.054624 0.010925
820 0.057010 0.011402
825 0.028604 0.005721
830 0.041000 0.008200
835 0.056953 0.011391
840 0.046505 0.009301
845 0.033442 0.006688
850 0.075455 0.015091
855 0.047122 0.009424
860 0.132130 0.026426
865 0.087843 0.017569
870 0.037153 0.007431
875 0.054391 0.010878
880 0.034923 0.006985
885 0.038416 0.007683
890 0.106427 0.021285
895 0.061688 0.012338
900 0.071605 0.014321
Test 0.045325 0.045325
905 0.131886 0.026377
910 0.042018 0.008404
915 0.050308 0.010062
920 0.031764 0.006353
925 0.069165 0.013833
930 0.050253 0.010051
935 0.047279 0.009456
940 0.058230 0.011646
945 0.059181 0.011836
950 0.039332 0.007866
955 0.118015 0.023603
960 0.076236 0.015247
965 0.061500 0.012300
970 0.066298 0.013260
975 0.061439 0.012288
980 0.077282 0.015456
985 0.039469 0.007894
990 0.057516 0.011503
995 0.059958 0.011992
1000 0.083341 0.016668
Test 0.075914 0.075914
1005 0.049481 0.009896
1010 0.040867 0.008173
1015 0.041013 0.008203
1020 0.065735 0.013147
1025 0.070110 0.014022
1030 0.033787 0.006757
1035 0.061984 0.012397
1040 0.083005 0.016601
1045 0.027111 0.005422
1050 0.104514 0.020903
1055 0.023698 0.004740
1060 0.067167 0.013433
1065 0.030218 0.006044
1070 0.056681 0.011336
1075 0.063656 0.012731
1080 0.056829 0.011366
1085 0.062525 0.012505
1090 0.076300 0.015260
1095 0.086262 0.017252
1100 0.052236 0.010447
Test 0.016710 0.016710
1105 0.076643 0.015329
1110 0.059414 0.011883
1115 0.050700 0.010140
1120 0.024195 0.004839
1125 0.092006 0.018401
1130 0.043570 0.008714
1135 0.057925 0.011585
1140 0.044965 0.008993
1145 0.038487 0.007697
1150 0.032971 0.006594
1155 0.043247 0.008649
1160 0.060449 0.012090
1165 0.045689 0.009138
1170 0.057079 0.011416
1175 0.049095 0.009819
1180 0.036445 0.007289
1185 0.046986 0.009397
1190 0.043560 0.008712
1195 0.080636 0.016127
1200 0.026437 0.005287
Test 0.018298 0.018298
1205 0.037197 0.007439
1210 0.033490 0.006698
1215 0.055560 0.011112
1220 0.017983 0.003597
1225 0.050104 0.010021
1230 0.091362 0.018272
1235 0.094831 0.018966
1240 0.035530 0.007106
1245 0.031203 0.006241
1250 0.031241 0.006248
1255 0.044064 0.008813
1260 0.095794 0.019159
1265 0.030967 0.006193
1270 0.130790 0.026158
1275 0.076615 0.015323
1280 0.156278 0.031256
1285 0.066790 0.013358
1290 0.093680 0.018736
1295 0.020781 0.004156
1300 0.059568 0.011914
Test 0.027166 0.027166
1305 0.049405 0.009881
1310 0.083469 0.016694
1315 0.100512 0.020102
1320 0.037859 0.007572
1325 0.048373 0.009675
1330 0.074974 0.014995
1335 0.060758 0.012152
1340 0.069721 0.013944
1345 0.096978 0.019396
1350 0.025850 0.005170
1355 0.027651 0.005530
1360 0.024284 0.004857
1365 0.026518 0.005304
1370 0.042832 0.008566
1375 0.051238 0.010248
1380 0.056433 0.011287
1385 0.027799 0.005560
1390 0.080317 0.016063
1395 0.036290 0.007258
1400 0.025799 0.005160
Test 0.041100 0.041100
1405 0.033515 0.006703
1410 0.073399 0.014680
1415 0.064125 0.012825
1420 0.018368 0.003674
1425 0.051099 0.010220
1430 0.057947 0.011589
1435 0.038024 0.007605
1440 0.046543 0.009309
1445 0.020180 0.004036
1450 0.030834 0.006167
1455 0.042961 0.008592
1460 0.025523 0.005105
1465 0.029625 0.005925
1470 0.058374 0.011675
1475 0.076330 0.015266
1480 0.040517 0.008103
1485 0.023249 0.004650
1490 0.105924 0.021185
1495 0.061466 0.012293
1500 0.016649 0.003330
Test 0.046488 0.046488
1505 0.034730 0.006946
1510 0.033963 0.006793
1515 0.023209 0.004642
1520 0.026220 0.005244
1525 0.022731 0.004546
1530 0.044058 0.008812
1535 0.049756 0.009951
1540 0.026267 0.005253
1545 0.047160 0.009432
1550 0.025355 0.005071
1555 0.185414 0.037083
1560 0.070019 0.014004
1565 0.067087 0.013417
1570 0.047335 0.009467
1575 0.088622 0.017724
1580 0.071444 0.014289
1585 0.069620 0.013924
1590 0.043712 0.008742
1595 0.057629 0.011526
1600 0.075435 0.015087
Test 0.032187 0.032187
1605 0.046598 0.009320
1610 0.053332 0.010666
1615 0.061230 0.012246
1620 0.058757 0.011751
1625 0.026655 0.005331
1630 0.055978 0.011196
1635 0.029493 0.005899
1640 0.037450 0.007490
1645 0.055217 0.011043
1650 0.031782 0.006356
1655 0.044124 0.008825
1660 0.042205 0.008441
1665 0.067996 0.013599
1670 0.031021 0.006204
1675 0.071353 0.014271
1680 0.080184 0.016037
1685 0.032441 0.006488
1690 0.065176 0.013035
1695 0.040102 0.008020
1700 0.068403 0.013681
Test 0.011821 0.011821
1705 0.084458 0.016892
1710 0.026191 0.005238
1715 0.045926 0.009185
1720 0.037800 0.007560
1725 0.037992 0.007598
1730 0.017871 0.003574
1735 0.016446 0.003289
1740 0.046346 0.009269
1745 0.037159 0.007432
1750 0.022378 0.004476
1755 0.080331 0.016066
1760 0.121927 0.024385
1765 0.054425 0.010885
1770 0.022552 0.004510
1775 0.061216 0.012243
1780 0.033702 0.006740
1785 0.027170 0.005434
1790 0.049855 0.009971
1795 0.061739 0.012348
1800 0.039713 0.007943
Test 0.005068 0.005068
1805 0.060182 0.012036
1810 0.047172 0.009434
1815 0.078940 0.015788
1820 0.039017 0.007803
1825 0.054958 0.010992
1830 0.046606 0.009321
1835 0.075460 0.015092
1840 0.069446 0.013889
1845 0.068723 0.013745
1850 0.029091 0.005818
1855 0.076365 0.015273
1860 0.054660 0.010932
1865 0.067741 0.013548
1870 0.059106 0.011821
1875 0.041467 0.008293
1880 0.052652 0.010530
1885 0.036510 0.007302
1890 0.026620 0.005324
1895 0.015782 0.003156
1900 0.112369 0.022474
Test 0.033833 0.033833
1905 0.083470 0.016694
1910 0.044926 0.008985
1915 0.031822 0.006364
1920 0.046009 0.009202
1925 0.026164 0.005233
1930 0.093254 0.018651
1935 0.037659 0.007532
1940 0.130640 0.026128
1945 0.024845 0.004969
1950 0.022808 0.004562
1955 0.053361 0.010672
1960 0.055550 0.011110
1965 0.043823 0.008765
1970 0.044696 0.008939
1975 0.044347 0.008869
1980 0.046276 0.009255
1985 0.042464 0.008493
1990 0.021453 0.004291
1995 0.023824 0.004765
2000 0.044219 0.008844
Test 0.020644 0.020644
2005 0.022598 0.004520
2010 0.091980 0.018396
2015 0.084587 0.016917
2020 0.045881 0.009176
2025 0.079576 0.015915
2030 0.038201 0.007640
2035 0.037691 0.007538
2040 0.047156 0.009431
2045 0.029790 0.005958
2050 0.065692 0.013138
2055 0.073671 0.014734
2060 0.040435 0.008087
2065 0.051922 0.010384
2070 0.024641 0.004928
2075 0.051244 0.010249
2080 0.022763 0.004553
2085 0.032307 0.006461
2090 0.028489 0.005698
2095 0.055703 0.011141
2100 0.033096 0.006619
Test 0.010911 0.010911
2105 0.039088 0.007818
2110 0.031159 0.006232
2115 0.032043 0.006409
2120 0.038579 0.007716
2125 0.026521 0.005304
2130 0.051798 0.010360
2135 0.046389 0.009278
2140 0.073875 0.014775
2145 0.029860 0.005972
2150 0.061295 0.012259
2155 0.046612 0.009322
2160 0.032106 0.006421
2165 0.088684 0.017737
2170 0.046338 0.009268
2175 0.035073 0.007015
2180 0.064967 0.012993
2185 0.045893 0.009179
2190 0.048524 0.009705
2195 0.046818 0.009364
2200 0.026471 0.005294
Test 0.017386 0.017386
2205 0.019648 0.003930
2210 0.045636 0.009127
2215 0.038617 0.007723
2220 0.018547 0.003709
2225 0.030147 0.006029
2230 0.052870 0.010574
2235 0.058287 0.011657
2240 0.130073 0.026015
2245 0.033782 0.006756
2250 0.013770 0.002754
2255 0.082049 0.016410
2260 0.034603 0.006921
2265 0.038282 0.007656
2270 0.060495 0.012099
2275 0.027484 0.005497
2280 0.117764 0.023553
2285 0.040107 0.008021
2290 0.053323 0.010665
2295 0.030388 0.006078
2300 0.061571 0.012314
Test 0.049454 0.049454
2305 0.066669 0.013334
2310 0.046503 0.009301
2315 0.078879 0.015776
2320 0.016942 0.003388
2325 0.072408 0.014482
2330 0.052082 0.010416
2335 0.085588 0.017118
2340 0.025329 0.005066
2345 0.027289 0.005458
2350 0.025889 0.005178
2355 0.049637 0.009927
2360 0.023126 0.004625
2365 0.037497 0.007499
2370 0.040133 0.008027
2375 0.030649 0.006130
2380 0.063087 0.012617
2385 0.059343 0.011869
2390 0.023406 0.004681
2395 0.042519 0.008504
2400 0.033913 0.006783
Test 0.061440 0.061440
2405 0.029677 0.005935
2410 0.029807 0.005961
2415 0.030871 0.006174
2420 0.040580 0.008116
2425 0.064930 0.012986
2430 0.020491 0.004098
2435 0.025434 0.005087
2440 0.016883 0.003377
2445 0.026773 0.005355
2450 0.017046 0.003409
2455 0.070121 0.014024
2460 0.062045 0.012409
2465 0.025764 0.005153
2470 0.022720 0.004544
2475 0.029432 0.005886
2480 0.044577 0.008915
2485 0.052806 0.010561
2490 0.016197 0.003239
2495 0.038190 0.007638
2500 0.048658 0.009732
Test 0.009805 0.009805
2505 0.029125 0.005825
2510 0.025969 0.005194
2515 0.088100 0.017620
2520 0.051569 0.010314
2525 0.021083 0.004217
2530 0.034981 0.006996
2535 0.058130 0.011626
2540 0.023603 0.004721
2545 0.115963 0.023193
2550 0.166350 0.033270
2555 0.110842 0.022168
2560 0.082989 0.016598
2565 0.108073 0.021615
2570 0.032015 0.006403
2575 0.045346 0.009069
2580 0.044987 0.008997
2585 0.080657 0.016131
2590 0.049709 0.009942
2595 0.058442 0.011688
2600 0.028120 0.005624
Test 0.034798 0.034798
2605 0.059929 0.011986
2610 0.116237 0.023247
2615 0.097657 0.019531
2620 0.112960 0.022592
2625 0.046338 0.009268
2630 0.122155 0.024431
2635 0.059894 0.011979
2640 0.063599 0.012720
2645 0.032189 0.006438
2650 0.077215 0.015443
2655 0.042381 0.008476
2660 0.044129 0.008826
2665 0.039632 0.007926
2670 0.036122 0.007224
2675 0.045405 0.009081
2680 0.027317 0.005463
2685 0.027879 0.005576
2690 0.022346 0.004469
2695 0.075387 0.015077
2700 0.035476 0.007095
Test 0.013722 0.013722
2705 0.091997 0.018399
2710 0.023798 0.004760
2715 0.014715 0.002943
2720 0.028597 0.005719
2725 0.019503 0.003901
2730 0.008592 0.001718
2735 0.058052 0.011610
2740 0.070461 0.014092
2745 0.021528 0.004306
2750 0.015865 0.003173
2755 0.022053 0.004411
2760 0.025061 0.005012
2765 0.023244 0.004649
2770 0.022121 0.004424
2775 0.036892 0.007378
2780 0.017422 0.003484
2785 0.066037 0.013207
2790 0.052288 0.010458
2795 0.027261 0.005452
2800 0.036769 0.007354
Test 0.033065 0.033065
2805 0.007133 0.001427
2810 0.023270 0.004654
2815 0.012477 0.002495
2820 0.033291 0.006658
2825 0.026955 0.005391
2830 0.039593 0.007919
2835 0.050290 0.010058
2840 0.017499 0.003500
2845 0.015203 0.003041
2850 0.033407 0.006681
2855 0.046141 0.009228
